"id","offer_name","click_url","app_id"
"100000299","Heetch-UA-CPA-aos-FR-16ads_0728_CTA","https://app.adjust.com/1egfq9wz?campaign=Adwake_FR_1712_d&adgroup=EFO_AOS_Vserv_ELO_16&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_qrttcc=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dqrttcc","com.heetch"
"100000300","BE-UA-CPA-aos-VN-dolemobi","https://app.appsflyer.com/xyz.be.customer?pid=theflashfc_int&af_siteid={subid}_{subid2}&c=ADSFLOURISH_AGENCY_CPA_UA_MNKV&af_sub_siteid={subid2}&af_ad={offer_id}&af_ad_id={creative_id}&af_adset={ad_type}_{geo}&af_ad_type={ad_type}&af_sub5=16&af_click_lookback=7d&af_ip={ip}&af_lang={lang}&af_ua={ua}&clickid={click_id}&advertising_id={gaid}&is_incentivized=false&af_prt=credworldain543","xyz.be.customer"
"100000301","BE-UA-CPA-aos-VN-dolemobi","https://app.appsflyer.com/xyz.be.customer?pid=theflashfc_int&af_siteid={subid}_{subid2}&c=ADSFLOURISH_AGENCY_CPA_UA_MNKV&af_sub_siteid={subid2}&af_ad={offer_id}&af_ad_id={creative_id}&af_adset={ad_type}_{geo}&af_ad_type={ad_type}&af_sub5=16&af_click_lookback=7d&af_ip={ip}&af_lang={lang}&af_ua={ua}&clickid={click_id}&advertising_id={gaid}&is_incentivized=false&af_prt=credworldain543","xyz.be.customer"
"100000302","be-UA-CPA-aos-VN-arkana","https://app.appsflyer.com/xyz.be.customer?pid=theflashfc_int&af_siteid={subid}_{subid2}&c=ADSFLOURISH_AGENCY_CPA_UA_MNKV&af_sub_siteid={subid2}&af_ad={offer_id}&af_ad_id={creative_id}&af_adset={ad_type}_{geo}&af_ad_type={ad_type}&af_sub5=16&af_click_lookback=7d&af_ip={ip}&af_lang={lang}&af_ua={ua}&clickid={click_id}&advertising_id={gaid}&is_incentivized=false&af_prt=credworldain543","xyz.be.customer"
"100000310","Alliance-UA-CPA-ios-UA-litchi","https://bankalliance.go.link/?adj_t=1pf23r88&adj_campaign=newage_mobfinity_OS_17&adj_adgroup=MFA_RA_DT_{aff}&adj_creative=Kreo&adj_fallback=https://alb.ua/&adj_redirect_macos=https://alb.ua/&adj_os_name={os}&adj_click_id={transaction_id}&adj_android_id={android_id}&adj_idfv={idfv}&adj_idfa={idfa}&adj_gps_adid={gaid}&adj_ip_address={ip}&adj_rejected_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&is_rejected=1&block_reason={rejection_reason}&block_sub_reason=pa&adj_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&adj_event_callback_ngbnsx=http://{adjust_domain}/pb/event_notify?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&event_name=ngbnsx","1556455360"
"100000311","Alliance-UA-CPA-aos-UA-litchi","https://bankalliance.go.link/?adj_t=1pf23r88&adj_campaign=newage_mobfinity_OS_17&adj_adgroup=MFA_RA_DT_{aff}&adj_creative=Kreo&adj_fallback=https://alb.ua/&adj_redirect_macos=https://alb.ua/&adj_os_name={os}&adj_click_id={transaction_id}&adj_android_id={android_id}&adj_idfv={idfv}&adj_idfa={idfa}&adj_gps_adid={gaid}&adj_ip_address={ip}&adj_rejected_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&is_rejected=1&block_reason={rejection_reason}&block_sub_reason=pa&adj_install_callback=http://{adjust_domain}/pb/lsr?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&adj_event_callback_ngbnsx=http://{adjust_domain}/pb/event_notify?transaction_id={transaction_id}&idfa={idfa}&gaid={gaid}&event_name=ngbnsx","ua.monvel.bankalliance"
"100000313","CoinDCX-UA-CPA-aos-IN-riseup","https://coindcx.go.link?adj_t=1q494mzh&adj_campaign=CS_DSP_CoinDCX&adj_adgroup=CS_DSP_JS&adj_creative=DT_{aff}&adj_os_name={os}&adj_click_id={transaction_id}&adj_android_id={android_id}&adj_idfv={idfv}&adj_idfa={idfa}&adj_gps_adid={gaid}&adj_ip_address={ip}&adj_rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&adj_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&adj_event_callback_w42aa3=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Dw42aa3","com.coindcx.btc"
"100000322","Betcity-UA-CPA-aos-RU-osaka","https://view.adjust.com/impression/1na19nib?campaign=Uffiliates_42226&adgroup=dl_{affiliate_sub_id}&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_a5invi=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Da5invi","ru.betcity"
"100000323","Betcity-UA-CPA-ios-RU-osaka","https://view.adjust.com/impression/1nsjwitd?campaign=Uffiliates_42226&&adgroup=dl_{affiliate_sub_id}&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_jnvza3=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Djnvza3","1491142951"
"100000324","Betcity-UA-CPA-aos-RU-osaka","https://view.adjust.com/impression/1nirhrg4?campaign=Uffiliates_22380&adgroup=DL_dl_{affiliate_sub_id}&os_name={os}&click_id={transaction_id}&android_id={android_id}&idfv={idfv}&idfa={idfa}&gps_adid={gaid}&ip_address={ip}&rejected_install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26is_rejected%3D1%26block_reason%3D{rejection_reason}%26block_sub_reason%3Dpa&install_callback=http%3A%2F%2F{adjust_domain}%2Fpb%2Flsr%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}&event_callback_a5invi=http%3A%2F%2F{adjust_domain}%2Fpb%2Fevent_notify%3Ftransaction_id%3D{transaction_id}%26idfa%3D{c_idfa}%26gaid%3D{c_gaid}%26event_name%3Da5invi","ru.betcity"
